target,model,season,n_games,accuracy,log_loss,mae,ats_pct
h1_spread,elo,2017,267,,,7.8410015027613404,
h1_spread,elo,2018,267,,,8.894830217051611,
h1_spread,elo,2019,267,,,8.523821513813488,
h1_spread,elo,2020,269,,,8.69428336539548,
h1_spread,elo,2021,285,,,8.666965454843238,
h1_spread,elo,2022,284,,,7.8074967690438335,
h1_spread,elo,2023,285,,,8.441516600779435,
h1_spread,elo,2024,285,,,7.901723350547654,
h1_spread,elo,2025,285,,,7.621839938701342,
h1_spread,elo,2026,24,,,8.065648200737165,
h1_spread,home_team,2017,267,,,8.165538814679064,
h1_spread,home_team,2018,267,,,9.205713142104294,
h1_spread,home_team,2019,267,,,8.844651321941342,
h1_spread,home_team,2020,269,,,9.23941515588741,
h1_spread,home_team,2021,285,,,9.068076188015517,
h1_spread,home_team,2022,284,,,7.979889138999961,
h1_spread,home_team,2023,285,,,8.882517850346192,
h1_spread,home_team,2024,285,,,8.450514739964412,
h1_spread,home_team,2025,285,,,7.99521928526221,
h1_spread,home_team,2026,24,,,8.500684406482698,
h1_spread,lightgbm,2017,267,,,8.071567161184003,
h1_spread,lightgbm,2018,267,,,9.157106652089793,
h1_spread,lightgbm,2019,267,,,8.511413168965095,
h1_spread,lightgbm,2020,269,,,8.671287616029694,
h1_spread,lightgbm,2021,285,,,8.777813162459086,
h1_spread,lightgbm,2022,284,,,7.841997234800958,
h1_spread,lightgbm,2023,285,,,8.474863971047489,
h1_spread,lightgbm,2024,285,,,8.151957102815357,
h1_spread,lightgbm,2025,285,,,7.8371929868605195,
h1_spread,lightgbm,2026,24,,,7.998133518872197,
h1_spread,lightgbm_coherent,2017,267,,,8.071567161184003,
h1_spread,lightgbm_coherent,2018,267,,,9.157106652089793,
h1_spread,lightgbm_coherent,2019,267,,,8.511413168965095,
h1_spread,lightgbm_coherent,2020,269,,,8.671287616029694,
h1_spread,lightgbm_coherent,2021,285,,,8.777813162459086,
h1_spread,lightgbm_coherent,2022,284,,,7.841997234800958,
h1_spread,lightgbm_coherent,2023,285,,,8.474863971047489,
h1_spread,lightgbm_coherent,2024,285,,,8.151957102815357,
h1_spread,lightgbm_coherent,2025,285,,,7.8371929868605195,
h1_spread,lightgbm_coherent,2026,24,,,7.998133518872197,
h1_spread,lightgbm_plus_vegas,2017,267,,,8.118643612211395,
h1_spread,lightgbm_plus_vegas,2018,267,,,9.188123666856267,
h1_spread,lightgbm_plus_vegas,2019,267,,,8.464451907630497,
h1_spread,lightgbm_plus_vegas,2020,269,,,8.638509578672785,
h1_spread,lightgbm_plus_vegas,2021,285,,,8.76369494872035,
h1_spread,lightgbm_plus_vegas,2022,284,,,7.8024087669696005,
h1_spread,lightgbm_plus_vegas,2023,285,,,8.387811572787674,
h1_spread,lightgbm_plus_vegas,2024,285,,,8.032389776890474,
h1_spread,lightgbm_plus_vegas,2025,285,,,7.819528143748019,
h1_spread,lightgbm_plus_vegas,2026,24,,,7.6052822891862375,
h1_spread,linear,2017,267,,,7.926416944014809,
h1_spread,linear,2018,267,,,8.98130327157569,
h1_spread,linear,2019,267,,,8.58716707260974,
h1_spread,linear,2020,269,,,8.716480107727582,
h1_spread,linear,2021,285,,,8.818920798470012,
h1_spread,linear,2022,284,,,7.75488900410919,
h1_spread,linear,2023,285,,,8.39995342224762,
h1_spread,linear,2024,285,,,7.899758178832573,
h1_spread,linear,2025,285,,,7.8094216117835,
h1_spread,linear,2026,24,,,8.180897321668292,
h1_spread,linear_coherent,2017,267,,,7.926416944014809,
h1_spread,linear_coherent,2018,267,,,8.98130327157569,
h1_spread,linear_coherent,2019,267,,,8.58716707260974,
h1_spread,linear_coherent,2020,269,,,8.716480107727582,
h1_spread,linear_coherent,2021,285,,,8.818920798470012,
h1_spread,linear_coherent,2022,284,,,7.75488900410919,
h1_spread,linear_coherent,2023,285,,,8.39995342224762,
h1_spread,linear_coherent,2024,285,,,7.899758178832573,
h1_spread,linear_coherent,2025,285,,,7.8094216117835,
h1_spread,linear_coherent,2026,24,,,8.180897321668292,
h1_spread,linear_plus_vegas,2017,267,,,7.890587800029677,
h1_spread,linear_plus_vegas,2018,267,,,8.955935113693625,
h1_spread,linear_plus_vegas,2019,267,,,8.511914056923228,
h1_spread,linear_plus_vegas,2020,269,,,8.633164238712949,
h1_spread,linear_plus_vegas,2021,285,,,8.782966239048676,
h1_spread,linear_plus_vegas,2022,284,,,7.709913700852507,
h1_spread,linear_plus_vegas,2023,285,,,8.294581671716994,
h1_spread,linear_plus_vegas,2024,285,,,7.862547986418098,
h1_spread,linear_plus_vegas,2025,285,,,7.69201644535018,
h1_spread,linear_plus_vegas,2026,24,,,7.657746482023238,
h1_spread,vegas,2017,267,,,7.810271073851395,
h1_spread,vegas,2018,267,,,8.80786438202417,
h1_spread,vegas,2019,267,,,8.461216172831731,
h1_spread,vegas,2020,269,,,8.569898073056216,
h1_spread,vegas,2021,285,,,8.554345132246905,
h1_spread,vegas,2022,284,,,7.75293051047714,
h1_spread,vegas,2023,285,,,8.282059119110306,
h1_spread,vegas,2024,285,,,7.788906255625234,
h1_spread,vegas,2025,285,,,7.5012279309619165,
h1_spread,vegas,2026,24,,,7.446688273632173,
h1_total,elo,2017,267,,,7.199188610313165,
h1_total,elo,2018,267,,,7.768513776754523,
h1_total,elo,2019,267,,,7.081502223190178,
h1_total,elo,2020,269,,,7.007571655017058,
h1_total,elo,2021,285,,,7.239173311668528,
h1_total,elo,2022,284,,,7.314042539832471,
h1_total,elo,2023,285,,,6.662899014449245,
h1_total,elo,2024,285,,,7.154731880754553,
h1_total,elo,2025,285,,,7.341639306552377,
h1_total,elo,2026,24,,,9.04227913056616,
h1_total,home_team,2017,267,,,7.2162281750897925,
h1_total,home_team,2018,267,,,7.804905978903478,
h1_total,home_team,2019,267,,,7.025116760753928,
h1_total,home_team,2020,269,,,6.9987521680969325,
h1_total,home_team,2021,285,,,7.225123541691577,
h1_total,home_team,2022,284,,,7.3201225254000155,
h1_total,home_team,2023,285,,,6.667480505516003,
h1_total,home_team,2024,285,,,7.124845309793807,
h1_total,home_team,2025,285,,,7.341627947346935,
h1_total,home_team,2026,24,,,8.959811651335961,
h1_total,lightgbm,2017,267,,,7.688525162277534,
h1_total,lightgbm,2018,267,,,7.534172620352345,
h1_total,lightgbm,2019,267,,,7.473039421616099,
h1_total,lightgbm,2020,269,,,7.149287949230772,
h1_total,lightgbm,2021,285,,,7.368745129150775,
h1_total,lightgbm,2022,284,,,7.4571391681892765,
h1_total,lightgbm,2023,285,,,6.667720600506844,
h1_total,lightgbm,2024,285,,,7.148032378226068,
h1_total,lightgbm,2025,285,,,7.376764926196694,
h1_total,lightgbm,2026,24,,,9.219450178414517,
h1_total,lightgbm_coherent,2017,267,,,7.688525162277534,
h1_total,lightgbm_coherent,2018,267,,,7.534172620352345,
h1_total,lightgbm_coherent,2019,267,,,7.473039421616099,
h1_total,lightgbm_coherent,2020,269,,,7.149287949230772,
