target,model,n_games,accuracy,log_loss,brier,ece,mae,rmse,ats_pct,ats_n,ats_units,ou_pct
win,home_team,2524,0.5461049284578696,0.6893017042980283,0.2480775522411291,0.00946300155758284,,,,,,
win,elo,2524,0.6391096979332274,0.6353737877757056,0.22228772670120484,0.024600165973186785,,,,,,
win,vegas,2524,0.6657392686804452,0.6077141908267445,0.21018051149349493,0.024617102448162318,,,,,,
win,linear,2524,0.6474562798092209,0.642932653012364,0.22423253644888697,0.033313455348669786,,,,,,
win,lightgbm,2524,0.6355325914149443,0.6456792753189013,0.22563066004725138,0.040828523082028834,,,,,,
win,linear_plus_vegas,2524,0.6693163751987281,0.6237826454450067,0.21574565161293616,0.03171538009306495,,,,,,
win,lightgbm_plus_vegas,2524,0.6530206677265501,0.6281471568772048,0.21799821754827853,0.0293818905177553,,,,,,
win,linear_coherent,2524,0.6466613672496025,0.6384375482381593,0.22248203564108665,0.0367152675395028,,,,,,
win,lightgbm_coherent,2524,0.6375198728139905,0.7297452513411783,0.24426599715618358,0.1329633849367658,,,,,,
win,neural,2524,0.6490461049284578,0.6469452158028975,0.2259994267998935,0.05089500134689392,,,,,,
win,neural_qb,2524,0.6486486486486487,0.6513878762519737,0.22706097540263853,0.05697040016124756,,,,,,
spread,home_team,2524,,,,,11.086593935493354,14.292739731246499,0.5123832724319936,2463.0,-53.72727272727275,
spread,elo,2524,,,,,10.28569936019224,13.26694502691305,0.4985789687373122,2463.0,-118.63636363636374,
spread,vegas,2524,,,,,9.877773375594295,12.807033496210535,0.5083231831100284,2463.0,-72.81818181818176,
spread,linear,2524,,,,,10.335497984504858,13.373414312575763,0.5071051563134389,2463.0,-78.5454545454545,
spread,lightgbm,2524,,,,,10.440190115044139,13.483092563590725,0.511165245635404,2463.0,-59.454545454545496,
spread,linear_plus_vegas,2524,,,,,10.051552039082184,13.022621390161206,0.5176613885505481,2463.0,-28.90909090909099,
spread,lightgbm_plus_vegas,2524,,,,,10.213015638017085,13.182325129723454,0.5018270401948843,2463.0,-103.36363636363649,
spread,linear_coherent,2524,,,,,10.335497984504858,13.373414312575763,0.5071051563134389,2463.0,-78.5454545454545,
spread,lightgbm_coherent,2524,,,,,10.440190115044139,13.483092563590725,0.511165245635404,2463.0,-59.454545454545496,
spread,neural,2524,,,,,10.342655113306362,13.409879733884555,0.5188794153471377,2463.0,-23.181818181818244,
spread,neural_qb,2524,,,,,10.348484860618028,13.373761059592265,0.5107592367032074,2463.0,-61.36363636363649,
total,home_team,2524,,,,,11.09017895131746,14.024834401246746,,,,0.49760191846522783
total,elo,2524,,,,,11.089783275588768,14.021458715592601,,,,0.5007993605115907
total,vegas,2524,,,,,10.51188589540412,13.344967355683087,,,,0.5151878497202238
total,linear,2524,,,,,10.882278469412796,13.790494659525853,,,,0.5015987210231815
total,lightgbm,2524,,,,,11.032311065816755,13.977529643972105,,,,0.4920063948840927
total,linear_plus_vegas,2524,,,,,10.705294998760257,13.542034179019712,,,,0.5103916866506795
total,lightgbm_plus_vegas,2524,,,,,10.821693743413604,13.737379310916923,,,,0.4940047961630695
total,linear_coherent,2524,,,,,10.882278469412796,13.790494659525853,,,,0.5015987210231815
total,lightgbm_coherent,2524,,,,,11.032311065816755,13.977529643972105,,,,0.4920063948840927
total,neural,2524,,,,,10.878225710426005,13.790475766165887,,,,0.4988009592326139
total,neural_qb,2524,,,,,10.823852927484527,13.713524411934829,,,,0.5111910471622702
h1_win,home_team,2518,0.5465865178188064,0.6897715967194976,0.24830663384514484,0.020296531260455164,,,,,,
h1_win,elo,2518,0.6109918419922714,0.6617347863807375,0.2345613485584993,0.02851451854876948,,,,,,
h1_win,vegas,2518,0.6208673250322027,0.6494112018065321,0.22883821711670388,0.022910512601454713,,,,,,
h1_win,linear,2518,0.6028338342636325,0.6759099060381027,0.24009165476384464,0.048090995517797705,,,,,,
h1_win,lightgbm,2518,0.6011163589523401,0.679311172962975,0.2414454826297054,0.05508993877543944,,,,,,
h1_win,linear_plus_vegas,2518,0.609274366680979,0.6703198944401941,0.2374226169121934,0.04342673319938856,,,,,,
h1_win,lightgbm_plus_vegas,2518,0.609274366680979,0.6753829966747844,0.23951093015197675,0.05094804555114908,,,,,,
h1_win,linear_coherent,2518,0.6024044654358094,0.6733795893666065,0.23904751367517857,0.044396498131704244,,,,,,
h1_win,lightgbm_coherent,2518,0.6062687848862173,0.8411612204739809,0.27490303313408054,0.16888161273726446,,,,,,
h1_win,neural,2518,0.61356805495921,0.673382185100604,0.23878124029027503,0.06265584297538981,,,,,,
h1_win,neural_qb,2518,0.6109918419922714,0.6814756226381571,0.24097593363535863,0.06175365099685802,,,,,,
h1_spread,home_team,2518,,,,,8.641106946666978,10.860820773631637,,,,
h1_spread,elo,2518,,,,,8.258191898802307,10.467389399726114,,,,
h1_spread,vegas,2518,,,,,8.156515371276328,10.31108374495075,,,,
h1_spread,linear,2518,,,,,8.359393498766268,10.574360088989682,,,,
h1_spread,lightgbm,2518,,,,,8.45298185315894,10.648226695014,,,,
h1_spread,linear_plus_vegas,2518,,,,,8.29475324615738,10.485228529933034,,,,
h1_spread,lightgbm_plus_vegas,2518,,,,,8.372662551193677,10.560492606474766,,,,
h1_spread,linear_coherent,2518,,,,,8.359393498766268,10.574360088989682,,,,
h1_spread,lightgbm_coherent,2518,,,,,8.45298185315894,10.648226695014,,,,
h1_spread,neural,2518,,,,,8.328495581676508,10.521891533791345,,,,
h1_spread,neural_qb,2518,,,,,8.322350287811448,10.523980546537933,,,,
h1_total,home_team,2518,,,,,7.206235359825461,9.107436607341203,,,,
h1_total,elo,2518,,,,,7.212046698931886,9.10487428640437,,,,
h1_total,vegas,2518,,,,,6.973023645773949,8.822806724108965,,,,
h1_total,linear,2518,,,,,7.204386793630369,9.050365284980382,,,,
h1_total,lightgbm,2518,,,,,7.297231267986761,9.181496094100456,,,,
h1_total,linear_plus_vegas,2518,,,,,7.088131161053909,8.9510683294027,,,,
h1_total,lightgbm_plus_vegas,2518,,,,,7.188074635907024,9.089554828628202,,,,
h1_total,linear_coherent,2518,,,,,7.204386793630369,9.050365284980382,,,,
h1_total,lightgbm_coherent,2518,,,,,7.297231267986761,9.181496094100456,,,,
h1_total,neural,2518,,,,,7.13155626247003,8.997686116791035,,,,
h1_total,neural_qb,2518,,,,,7.159727354102706,8.988178307474033,,,,
