model,bin,n,mean_pred,actual,gap
home_team,0.5-0.6,2516,0.5555679300154525,0.5461049284578696,0.00946300155758284
elo,0.1-0.2,35,0.16504531109431494,0.2857142857142857,-0.12066897461997075
elo,0.2-0.3,137,0.2591498411606235,0.32116788321167883,-0.06201804205105532
elo,0.3-0.4,277,0.35600655020198074,0.3212996389891697,0.034706911212811054
elo,0.4-0.5,439,0.44991988391404864,0.4191343963553531,0.030785487558695535
elo,0.5-0.6,556,0.5513821715081345,0.5287769784172662,0.02260519309086828
elo,0.6-0.7,545,0.6467780704938553,0.636697247706422,0.010080822787433275
elo,0.7-0.8,371,0.7449211527136748,0.7331536388140162,0.011767513899658577
elo,0.8-0.9,150,0.83918121448851,0.86,-0.020818785511489968
elo,0.9-1.0,6,0.9157311684096098,0.8333333333333334,0.0823978350762764
vegas,0.0-0.1,5,0.07945677058538997,0.0,0.07945677058538997
vegas,0.1-0.2,81,0.15920047477298743,0.20987654320987653,-0.0506760684368891
vegas,0.2-0.3,225,0.26462102388760866,0.20444444444444446,0.06017657944316421
vegas,0.3-0.4,425,0.3676697098040682,0.3788235294117647,-0.011153819607696513
vegas,0.4-0.5,233,0.43290274514176724,0.4721030042918455,-0.03920025915007824
vegas,0.5-0.6,458,0.5701530920093555,0.5393013100436681,0.030851781965687386
vegas,0.6-0.7,476,0.644196849337862,0.6365546218487395,0.007642227489122577
vegas,0.7-0.8,386,0.740024389284621,0.7512953367875648,-0.011270947502943773
vegas,0.8-0.9,198,0.842346328060318,0.8787878787878788,-0.036441550727560834
vegas,0.9-1.0,29,0.9202410713106797,0.896551724137931,0.02368934717274862
linear,0.0-0.1,12,0.07603593098073767,0.3333333333333333,-0.2572974023525956
linear,0.1-0.2,93,0.1594635825584418,0.2903225806451613,-0.1308589980867195
linear,0.2-0.3,216,0.25519646115935535,0.2916666666666667,-0.03647020550731134
linear,0.3-0.4,309,0.3527613267626277,0.343042071197411,0.009719255565216744
linear,0.4-0.5,322,0.452176303347243,0.468944099378882,-0.01676779603163897
linear,0.5-0.6,422,0.5483752607354292,0.5616113744075829,-0.013236113672153715
linear,0.6-0.7,431,0.6492112306976406,0.6125290023201856,0.03668222837745505
linear,0.7-0.8,395,0.7463240105714931,0.6911392405063291,0.05518477006516398
linear,0.8-0.9,266,0.8448243631050374,0.7706766917293233,0.0741476713757141
linear,0.9-1.0,50,0.9210244883179276,0.88,0.0410244883179276
lightgbm,0.0-0.1,1,0.08741624571544514,0.0,0.08741624571544514
lightgbm,0.1-0.2,82,0.16507456933336745,0.3170731707317073,-0.15199860139833987
lightgbm,0.2-0.3,250,0.2571830141842818,0.32,-0.06281698581571821
lightgbm,0.3-0.4,322,0.3487600370085265,0.32919254658385094,0.019567490424675538
lightgbm,0.4-0.5,333,0.4504706022985858,0.4864864864864865,-0.03601588418790069
lightgbm,0.5-0.6,404,0.5500633632565511,0.5495049504950495,0.0005584127615015921
lightgbm,0.6-0.7,408,0.652943404496115,0.6323529411764706,0.020590463319644425
lightgbm,0.7-0.8,401,0.7471445414306981,0.6783042394014963,0.06884030202920177
lightgbm,0.8-0.9,287,0.8438588735484082,0.8013937282229965,0.04246514532541168
lightgbm,0.9-1.0,28,0.9104786566250344,0.6428571428571429,0.26762151376789145
linear_plus_vegas,0.0-0.1,17,0.0774967273611907,0.17647058823529413,-0.09897386087410343
linear_plus_vegas,0.1-0.2,130,0.15598705464399548,0.23846153846153847,-0.08247448381754299
linear_plus_vegas,0.2-0.3,220,0.2566617279784384,0.29545454545454547,-0.03879281747610708
linear_plus_vegas,0.3-0.4,319,0.34913956721943884,0.3510971786833856,-0.00195761146394674
linear_plus_vegas,0.4-0.5,329,0.44971428964533144,0.41641337386018235,0.0333009157851491
linear_plus_vegas,0.5-0.6,363,0.552289346959288,0.5840220385674931,-0.03173269160820513
linear_plus_vegas,0.6-0.7,421,0.649544797620407,0.6413301662707839,0.00821463134962308
linear_plus_vegas,0.7-0.8,368,0.7443070466220881,0.7146739130434783,0.02963313357860986
linear_plus_vegas,0.8-0.9,282,0.8451269029735764,0.7872340425531915,0.057892860420384884
linear_plus_vegas,0.9-1.0,67,0.9244948726126376,0.8805970149253731,0.04389785768726451
lightgbm_plus_vegas,0.0-0.1,4,0.09029449441152969,0.0,0.09029449441152969
lightgbm_plus_vegas,0.1-0.2,149,0.16061173076344212,0.2684563758389262,-0.10784464507548405
lightgbm_plus_vegas,0.2-0.3,242,0.25299463471941885,0.24793388429752067,0.005060750421898186
lightgbm_plus_vegas,0.3-0.4,288,0.354356236673657,0.3819444444444444,-0.02758820777078741
lightgbm_plus_vegas,0.4-0.5,328,0.44878260475224363,0.47560975609756095,-0.026827151345317324
lightgbm_plus_vegas,0.5-0.6,399,0.5498521420016576,0.531328320802005,0.018523821199652568
lightgbm_plus_vegas,0.6-0.7,380,0.6499871647685785,0.6526315789473685,-0.002644414178789911
lightgbm_plus_vegas,0.7-0.8,374,0.7488803784543304,0.7005347593582888,0.048345619096041625
lightgbm_plus_vegas,0.8-0.9,316,0.8455933254859116,0.8227848101265823,0.022808515359329262
lightgbm_plus_vegas,0.9-1.0,36,0.9160365360288911,0.7222222222222222,0.19381431380666891
