target,model,n_games,accuracy,log_loss,brier,ece,mae,rmse,ats_pct,ats_n,ats_units,ou_pct
win,elo,2524,0.6391096979332274,0.6353737877757056,0.22228772670120484,0.024600165973186785,,,,,,
win,vegas,2524,0.6657392686804452,0.6077141908267445,0.21018051149349493,0.024617102448162318,,,,,,
win,linear_coherent,2524,0.6498410174880763,0.6368328781287926,0.2220686307357137,0.045287529447861755,,,,,,
win,lightgbm,2524,0.6414944356120826,0.6440874066195328,0.22506886761281453,0.040724140446459035,,,,,,
win,neural,2524,0.6450715421303657,0.6449693129266018,0.22547866491298058,0.035552367834531265,,,,,,
win,neural_qb,2524,0.6410969793322735,0.6571116346685422,0.22942642259643636,0.05852452435216824,,,,,,
spread,elo,2524,,,,,10.28569936019224,13.26694502691305,0.4985789687373122,2463.0,-118.63636363636374,
spread,vegas,2524,,,,,9.877773375594295,12.807033496210535,0.5083231831100284,2463.0,-72.81818181818176,
spread,linear_coherent,2524,,,,,10.337197314263399,13.341849110081823,0.5131952902963866,2463.0,-49.90909090909099,
spread,lightgbm,2524,,,,,10.439440211995047,13.478901160062703,0.49533089727974017,2463.0,-133.909090909091,
spread,neural,2524,,,,,10.330289345346804,13.372964072199542,0.5318717011774259,2463.0,37.909090909090764,
spread,neural_qb,2524,,,,,10.385461828174002,13.39834521390238,0.5083231831100284,2463.0,-72.81818181818176,
total,elo,2524,,,,,11.089783275588768,14.021458715592601,,,,0.5007993605115907
total,vegas,2524,,,,,10.51188589540412,13.344967355683087,,,,0.5151878497202238
total,linear_coherent,2524,,,,,11.115500821290512,14.002642603596147,,,,0.5067945643485212
total,lightgbm,2524,,,,,11.244283130034074,14.202106444939647,,,,0.4988009592326139
total,neural,2524,,,,,11.10413157014197,14.015801674950925,,,,0.4968025579536371
total,neural_qb,2524,,,,,11.057046586473469,13.991350101632916,,,,0.503197442046363
h1_win,elo,2518,0.6109918419922714,0.6617347863807375,0.2345613485584993,0.02851451854876948,,,,,,
h1_win,vegas,2518,0.6208673250322027,0.6494112018065321,0.22883821711670388,0.022910512601454713,,,,,,
h1_win,linear_coherent,2518,0.6041219407471018,0.6704195927234686,0.23781669602205185,0.045519052707807456,,,,,,
h1_win,lightgbm,2518,0.5912408759124088,0.6778744151229976,0.24119021976852095,0.06418898539843211,,,,,,
h1_win,neural,2518,0.6131386861313869,0.6675355702836641,0.23617455168945706,0.053838585059931464,,,,,,
h1_win,neural_qb,2518,0.6174323744096178,0.6803260203854943,0.24050216074362185,0.06249418172196749,,,,,,
h1_spread,elo,2518,,,,,8.258191898802307,10.467389399726114,,,,
h1_spread,vegas,2518,,,,,8.156515371276328,10.31108374495075,,,,
h1_spread,linear_coherent,2518,,,,,8.314175322099024,10.520198759854987,,,,
h1_spread,lightgbm,2518,,,,,8.378944706399198,10.612695678655363,,,,
h1_spread,neural,2518,,,,,8.274665483673761,10.466789227283408,,,,
h1_spread,neural_qb,2518,,,,,8.323987049583977,10.494135062185299,,,,
h1_total,elo,2518,,,,,7.212046698931886,9.10487428640437,,,,
h1_total,vegas,2518,,,,,6.973023645773949,8.822806724108965,,,,
h1_total,linear_coherent,2518,,,,,7.27499559558486,9.138281834000015,,,,
h1_total,lightgbm,2518,,,,,7.331999437902053,9.24362858734198,,,,
h1_total,neural,2518,,,,,7.2425038752052115,9.10863780111722,,,,
h1_total,neural_qb,2518,,,,,7.21368655067668,9.0825958441056,,,,
