target,model,n_games,accuracy,log_loss,brier,ece,mae,rmse,ats_pct,ats_n,ats_units,ou_pct
win,elo,2525,0.6392530790623758,0.6352845996083857,0.2222445163969553,0.02445652734555254,,,,,,
win,vegas,2525,0.6658720699245133,0.6076153309378135,0.21013313310290677,0.02448751896366675,,,,,,
win,lean,2525,0.6456098529996027,0.6323563495869174,0.22096299948149217,0.02352026880133927,,,,,,
win,lean_qb,2525,0.6495828367103695,0.6280694432141918,0.2190560192868691,0.027455464200844833,,,,,,
win,linear,2525,0.6468017481128328,0.6383300859575692,0.22243129690902586,0.03657837165886467,,,,,,
win,linear_qb,2525,0.6487882399682161,0.6347624840302086,0.2205216259508714,0.04332315847826187,,,,,,
win,neural_qbfeat,2525,0.6519666269368296,0.6410571544578562,0.22349700644329026,0.04449949774818618,,,,,,
win,ensemble,2525,0.6515693285657529,0.628872240707451,0.21936807801302943,0.029216268095224013,,,,,,
spread,elo,2525,,,,,10.282524728808593,13.264394558506748,0.4987824675324675,2464.0,-117.72727272727275,
spread,vegas,2525,,,,,9.875049504950494,12.804636381845723,0.5085227272727273,2464.0,-71.90909090909099,
spread,lean,2525,,,,,10.224271137414995,13.210078744207124,0.5060876623376623,2464.0,-83.36363636363649,
spread,lean_qb,2525,,,,,10.188094788117617,13.15459562117526,0.5060876623376623,2464.0,-83.36363636363649,
spread,linear,2525,,,,,10.332509060379401,13.370881003922726,0.5073051948051948,2464.0,-77.63636363636374,
spread,linear_qb,2525,,,,,10.309269153791478,13.303221588067977,0.5109577922077922,2464.0,-60.454545454545496,
spread,neural_qbfeat,2525,,,,,10.279413319389418,13.263650990045752,0.5117694805194806,2464.0,-56.63636363636374,
spread,ensemble,2525,,,,,10.19574404038794,13.162527486400244,0.505275974025974,2464.0,-87.18181818181824,
total,elo,2525,,,,,11.092138219690792,14.022780878013126,,,,0.5005992808629645
total,vegas,2525,,,,,10.514257425742574,13.346364506657027,,,,0.5149820215741111
total,lean,2525,,,,,10.85537516631042,13.743312026129923,,,,0.5033959248901319
total,lean_qb,2525,,,,,10.86374135250042,13.733843689404956,,,,0.5101877746703956
total,linear,2525,,,,,10.885889565059756,13.793507369445472,,,,0.5013983220135837
total,linear_qb,2525,,,,,10.930998856822915,13.796974481064723,,,,0.512984418697563
total,neural_qbfeat,2525,,,,,10.848956212714167,13.752966733843097,,,,0.5037954454654414
total,ensemble,2525,,,,,10.850613027053893,13.744465368157476,,,,0.5049940071913703
h1_win,elo,2525,0.6107066381156316,0.661879550944143,0.2346330425385328,0.027968464521204762,,,,,,
h1_win,vegas,2525,0.6205567451820129,0.6495066408518932,0.22889103724824839,0.022140589297205995,,,,,,
h1_win,lean,2525,0.6158458244111349,0.6599238891423753,0.23367183820833515,0.03039774330789391,,,,,,
h1_win,lean_qb,2525,0.6192719486081371,0.6578107915706465,0.23254507919479875,0.03515336725383907,,,,,,
h1_win,linear,2525,0.6021413276231263,0.673363228776632,0.239048383673414,0.044639938173205974,,,,,,
h1_win,linear_qb,2525,0.5970021413276231,0.6736469657168868,0.23899402384018803,0.05409968060721829,,,,,,
h1_win,neural_qbfeat,2525,0.6051391862955032,0.6746168432800098,0.23935768639226848,0.06044635576788312,,,,,,
h1_win,ensemble,2525,0.6132762312633833,0.6604552406728131,0.2339137927450972,0.03618778920051652,,,,,,
h1_spread,elo,2525,,,,,8.248845893740016,10.456839389266516,,,,
h1_spread,vegas,2525,,,,,8.146421753697052,10.300697499115723,,,,
h1_spread,lean,2525,,,,,8.236242906666291,10.420194439338273,,,,
h1_spread,lean_qb,2525,,,,,8.218100396329929,10.3778231913072,,,,
h1_spread,linear,2525,,,,,8.350973073673265,10.563911164854687,,,,
h1_spread,linear_qb,2525,,,,,8.361348041676353,10.538387141379246,,,,
h1_spread,neural_qbfeat,2525,,,,,8.278184497804926,10.469381444311596,,,,
h1_spread,ensemble,2525,,,,,8.221136381963607,10.408550613676569,,,,
h1_total,elo,2525,,,,,7.213440787262879,9.102982859129172,,,,
h1_total,vegas,2525,,,,,6.971668690074835,8.819497147536255,,,,
h1_total,lean,2525,,,,,7.116717433306452,8.962329761477935,,,,
h1_total,lean_qb,2525,,,,,7.115579577636383,8.961330954103042,,,,
h1_total,linear,2525,,,,,7.204672559222304,9.049061821776966,,,,
h1_total,linear_qb,2525,,,,,7.201966291352633,9.05928771640767,,,,
h1_total,neural_qbfeat,2525,,,,,7.185856904511405,9.028344019502118,,,,
h1_total,ensemble,2525,,,,,7.136892370181406,8.98910074703454,,,,
