strategy,n,hit,roi,p,roi_early,roi_late,bh_threshold,survives_fdr
neural_qbfeat | wk1-6 | ML dogs | edge>=0.10,162,0.5,0.2229964265576618,0.025064816201564335,0.387082113819334,0.017889317480571543,0.0035318924617817604,False
lean_qb | wk7-13 | OU under | edge>=3.0pt,120,0.6333333333333333,0.20909090909090913,0.014564181198460119,0.2409090909090909,0.1454545454545455,0.002688455455983131,False
lean | wk7-13 | OU under | edge>=3.0pt,119,0.6302521008403361,0.20320855614973268,0.0181832680194474,0.2572062084257207,0.08353808353808359,0.0029783869267264104,False
neural_qbfeat | total<=44 | ML dogs | edge>=0.05,208,0.4951923076923077,0.20309150596179582,0.019659079262206922,0.3361077005185261,0.07753416343628407,0.003215603584607275,False
neural_qbfeat | wk1-6 | ML dogs | edge>=0.05,179,0.4972067039106145,0.20196857269893842,0.030632525292806426,0.3796169810673366,-0.012964069524555748,0.0040063257775434895,False
neural_qbfeat | wk1-6 | ML dogs | edge>=0.00,179,0.4972067039106145,0.20196857269893842,0.030632525292806426,0.3796169810673366,-0.012964069524555748,0.004032683183974697,False
neural_qbfeat | total<=44 | ML dogs | edge>=0.00,210,0.49523809523809526,0.20158228688238777,0.019811058451775117,0.3304478131807675,0.07753416343628407,0.003241960991038482,False
neural_qbfeat | total<=44 | ML dogs | edge>=0.10,189,0.48677248677248675,0.19883761963155372,0.03162889567477716,0.3290096195453941,0.07537551662048868,0.004164470216130733,False
linear | total<=44 | ML dogs | edge>=0.10,200,0.49,0.19393284127429744,0.029350870212323663,0.23333479166872767,0.1545308908798673,0.0039008961518186614,False
linear | line<=3 | ML dogs | edge>=0.10,258,0.5193798449612403,0.18223595197235606,0.011086024981256779,0.3306431851955518,0.036111906952594114,0.0021876647337901955,False
lean_qb | wk1-6 | ML dogs | edge>=0.10,103,0.49514563106796117,0.16698253354148945,0.16192946765878558,0.6058368975478848,-0.18718063741104013,0.0128624143384291,False
linear | total<=44 | ML dogs | edge>=0.00,214,0.48130841121495327,0.1649819469315194,0.05298062812967867,0.2259538977970739,0.10733573884044971,0.006035846072746442,False
linear_qb | total<=44 | ML dogs | edge>=0.10,182,0.4835164835164835,0.16473324148977328,0.07224323011487237,0.25327559878008976,0.08364708270811506,0.007670005271481287,False
linear | total<=44 | ML dogs | edge>=0.05,213,0.4788732394366197,0.16129234756577654,0.05941572861260917,0.21891591028214497,0.10733573884044971,0.006562994201370586,False
ensemble | line>7 | OU under | edge>=3.0pt,79,0.6075949367088608,0.15995397008055245,0.13370092959250693,0.164869029275809,,0.011254612546125461,False
linear_qb | total<=44 | ML dogs | edge>=0.05,207,0.48792270531400966,0.1574444843527826,0.06268819324963101,0.2647685490395282,0.06095128857937829,0.006826568265682658,False
ensemble | wk1-6 | ML dogs | edge>=0.10,121,0.4793388429752066,0.1545479036744579,0.170430313779195,0.40206943779148374,-0.08891590037507585,0.013468634686346865,False
linear | wk1-6 | ML dogs | edge>=0.10,165,0.47878787878787876,0.15284557613332175,0.11258895453682691,0.290682395327786,-0.020866579563811292,0.00996309963099631,False
neural_qbfeat | line 3-7 | ML dogs | edge>=0.10,119,0.4117647058823529,0.15199769618755635,0.23727423635480258,0.2708893099224294,-0.13334217677613908,0.016341591987348445,False
neural_qbfeat | line 3-7 | ML dogs | edge>=0.05,119,0.4117647058823529,0.15199769618755635,0.23727423635480258,0.2708893099224294,-0.13334217677613908,0.01639430680021086,False
neural_qbfeat | line 3-7 | ML dogs | edge>=0.00,119,0.4117647058823529,0.15199769618755635,0.23727423635480258,0.2708893099224294,-0.13334217677613908,0.01636794939377965,False
linear | wk1-6 | ML dogs | edge>=0.00,182,0.4835164835164835,0.14939777774191093,0.09899102115034404,0.2813565835441151,-0.015143449246022558,0.00922509225092251,False
linear | wk1-6 | ML dogs | edge>=0.05,179,0.48044692737430167,0.1466097544532966,0.10949065861231977,0.2875368517789987,-0.027787528487259704,0.009725882973115446,False
